alignment	phase	planet	operation	row	slot	character_name	baseId
DS	1	Mustafar	1	1	1	Emperor Palpatine	EMPERORPALPATINE
DS	1	Mustafar	1	1	2	BT-1	BT1
DS	1	Mustafar	1	1	3	General Grievous	GRIEVOUS
DS	1	Mustafar	1	1	4	Darth Maul	MAUL
DS	1	Mustafar	1	1	5	Darth Sion	DARTHSION
DS	1	Mustafar	1	2	1	Emperor Palpatine	EMPERORPALPATINE
DS	1	Mustafar	1	2	2	Geonosian Spy's Starfighter	GEONOSIANSTARFIGHTER3
DS	1	Mustafar	1	2	3	General Grievous	GRIEVOUS
DS	1	Mustafar	1	2	4	Gamorrean Guard	GAMORREANGUARD
DS	1	Mustafar	1	2	5	Darth Maul	MAUL
DS	1	Mustafar	1	3	1	Chimaera	CAPITALCHIMAERA
DS	1	Mustafar	1	3	2	Gauntlet Starfighter	GAUNTLETSTARFIGHTER
DS	1	Mustafar	1	3	3	Imperial Probe Droid	IMPERIALPROBEDROID
DS	1	Mustafar	1	3	4	Imperial Super Commando	IMPERIALSUPERCOMMANDO
DS	1	Mustafar	1	3	5	Ugnaught	UGNAUGHT
DS	1	Mustafar	2	1	1	Grand Admiral Thrawn	GRANDADMIRALTHRAWN
DS	1	Mustafar	2	1	2	Jango Fett	JANGOFETT
DS	1	Mustafar	2	1	3	Wat Tambor	WATTAMBOR
DS	1	Mustafar	2	1	4	Darth Sidious	DARTHSIDIOUS
DS	1	Mustafar	2	1	5	IG-88	IG88
DS	1	Mustafar	2	2	1	Grand Admiral Thrawn	GRANDADMIRALTHRAWN
DS	1	Mustafar	2	2	2	Dengar	DENGAR
DS	1	Mustafar	2	2	3	Wat Tambor	WATTAMBOR
DS	1	Mustafar	2	2	4	Asajj Ventress	ASAJVENTRESS
DS	1	Mustafar	2	2	5	Ugnaught	UGNAUGHT
DS	1	Mustafar	2	3	1	Emperor Palpatine	EMPERORPALPATINE
DS	1	Mustafar	2	3	2	Nute Gunray	NUTEGUNRAY
DS	1	Mustafar	2	3	3	Darth Traya	DARTHTRAYA
DS	1	Mustafar	2	3	4	Hyena Bomber	HYENABOMBER
DS	1	Mustafar	2	3	5	Droideka	DROIDEKA
DS	1	Mustafar	3	1	1	Chimaera	CAPITALCHIMAERA
DS	1	Mustafar	3	1	2	Darth Vader	VADER
DS	1	Mustafar	3	1	3	Darth Traya	DARTHTRAYA
DS	1	Mustafar	3	1	4	0-0-0	TRIPLEZERO
DS	1	Mustafar	3	1	5	Imperial TIE Bomber	TIEBOMBERIMPERIAL
DS	1	Mustafar	3	2	1	Chimaera	CAPITALCHIMAERA
DS	1	Mustafar	3	2	2	Ninth Sister	NINTHSISTER
DS	1	Mustafar	3	2	3	Wat Tambor	WATTAMBOR
DS	1	Mustafar	3	2	4	Sith Assassin	SITHASSASSIN
DS	1	Mustafar	3	2	5	TIE Fighter Pilot	TIEFIGHTERPILOT
DS	1	Mustafar	3	3	1	Darth Revan	DARTHREVAN
DS	1	Mustafar	3	3	2	Hound's Tooth	HOUNDSTOOTH
DS	1	Mustafar	3	3	3	Darth Traya	DARTHTRAYA
DS	1	Mustafar	3	3	4	0-0-0	TRIPLEZERO
DS	1	Mustafar	3	3	5	BT-1	BT1
DS	1	Mustafar	4	1	1	Darth Revan	DARTHREVAN
DS	1	Mustafar	4	1	2	Darth Sion	DARTHSION
DS	1	Mustafar	4	1	3	General Grievous	GRIEVOUS
DS	1	Mustafar	4	1	4	Hound's Tooth	HOUNDSTOOTH
DS	1	Mustafar	4	1	5	Dark Trooper	DARKTROOPER
DS	1	Mustafar	4	2	1	Grand Admiral Thrawn	GRANDADMIRALTHRAWN
DS	1	Mustafar	4	2	2	IG-86 Sentinel Droid	IG86SENTINELDROID
DS	1	Mustafar	4	2	3	General Grievous	GRIEVOUS
DS	1	Mustafar	4	2	4	Embo	EMBO
DS	1	Mustafar	4	2	5	Sith Trooper	FOSITHTROOPER
DS	1	Mustafar	4	3	1	Darth Revan	DARTHREVAN
DS	1	Mustafar	4	3	2	Ugnaught	UGNAUGHT
DS	1	Mustafar	4	3	3	Darth Traya	DARTHTRAYA
DS	1	Mustafar	4	3	4	0-0-0	TRIPLEZERO
DS	1	Mustafar	4	3	5	B1 Battle Droid	B1BATTLEDROIDV2
DS	1	Mustafar	5	1	1	Chimaera	CAPITALCHIMAERA
DS	1	Mustafar	5	1	2	Canderous Ordo	CANDEROUSORDO
DS	1	Mustafar	5	1	3	Darth Traya	DARTHTRAYA
DS	1	Mustafar	5	1	4	First Order SF TIE Pilot	FIRSTORDERSPECIALFORCESPILOT
DS	1	Mustafar	5	1	5	Nightsister Initiate	NIGHTSISTERINITIATE
DS	1	Mustafar	5	2	1	Emperor Palpatine	EMPERORPALPATINE
DS	1	Mustafar	5	2	2	Tusken Shaman	TUSKENSHAMAN
DS	1	Mustafar	5	2	3	Darth Traya	DARTHTRAYA
DS	1	Mustafar	5	2	4	Mara Jade, The Emperor's Hand	MARAJADE
DS	1	Mustafar	5	2	5	0-0-0	TRIPLEZERO
DS	1	Mustafar	5	3	1	Chimaera	CAPITALCHIMAERA
DS	1	Mustafar	5	3	2	IG-88	IG88
DS	1	Mustafar	5	3	3	Darth Traya	DARTHTRAYA
DS	1	Mustafar	5	3	4	Boba Fett	BOBAFETT
DS	1	Mustafar	5	3	5	Droideka	DROIDEKA
DS	1	Mustafar	6	1	1	Darth Revan	DARTHREVAN
DS	1	Mustafar	6	1	2	Canderous Ordo	CANDEROUSORDO
DS	1	Mustafar	6	1	3	Wat Tambor	WATTAMBOR
DS	1	Mustafar	6	1	4	Imperial TIE Fighter	TIEFIGHTERIMPERIAL
DS	1	Mustafar	6	1	5	Darth Vader	VADER
DS	1	Mustafar	6	2	1	Chimaera	CAPITALCHIMAERA
DS	1	Mustafar	6	2	2	Darth Sidious	DARTHSIDIOUS
DS	1	Mustafar	6	2	3	Imperial Probe Droid	IMPERIALPROBEDROID
DS	1	Mustafar	6	2	4	Fifth Brother	FIFTHBROTHER
DS	1	Mustafar	6	2	5	First Order Officer	FIRSTORDEROFFICERMALE
DS	1	Mustafar	6	3	1	Darth Revan	DARTHREVAN
DS	1	Mustafar	6	3	2	First Order SF TIE Pilot	FIRSTORDERSPECIALFORCESPILOT
DS	1	Mustafar	6	3	3	General Grievous	GRIEVOUS
DS	1	Mustafar	6	3	4	First Order Officer	FIRSTORDEROFFICERMALE
DS	1	Mustafar	6	3	5	Count Dooku	COUNTDOOKU
DS	2	Geonosis	1	1	1	Boba Fett, Scion of Jango	BOBAFETTSCION
DS	2	Geonosis	1	1	2	Scythe	SCYTHE
DS	2	Geonosis	1	1	3	Darth Revan	DARTHREVAN
DS	2	Geonosis	1	1	4	Imperial Probe Droid	IMPERIALPROBEDROID
DS	2	Geonosis	1	1	5	Scimitar	SITHINFILTRATOR
DS	2	Geonosis	1	2	1	Maul	MAULS7
DS	2	Geonosis	1	2	2	Boba Fett, Scion of Jango	BOBAFETTSCION
DS	2	Geonosis	1	2	3	Chimaera	CAPITALCHIMAERA
DS	2	Geonosis	1	2	4	Wat Tambor	WATTAMBOR
DS	2	Geonosis	1	2	5	Executrix	CAPITALSTARDESTROYER
DS	2	Geonosis	1	3	1	Sith Eternal Emperor	SITHPALPATINE
DS	2	Geonosis	1	3	2	Scythe	SCYTHE
DS	2	Geonosis	1	3	3	Starkiller	STARKILLER
